company,brand,model,production_year,country,fuel_type,engine_volume,transmission,drive_type,region,quantity,price_usd,total_sale_usd,area,segment_2013,class_2013,segment_eng,sale_date
Mercur Auto,Audi,A3,2018.0,DEU,F,1.4,Автомат,FWD,Алматы,1.0,28115.0,28115.0,Г.Алматы,Легковые автомобили,C класс,C,2019-05-31
Mercur Auto,Audi,A3,2018.0,DEU,F,1.4,Автомат,FWD,Алматы,1.0,32246.99,32246.99,Г.Алматы,Легковые автомобили,C класс,C,2019-08-31
Mercur Auto,Audi,A4,2018.0,DEU,F,1.4,Автомат,FWD,Алматы,1.0,32000.0,32000.0,Г.Алматы,Легковые автомобили,D класс,D,2019-04-30
Mercur Auto,Audi,A4,2018.0,DEU,F,1.4,Автомат,FWD,Алматы,1.0,31929.0,31929.0,Г.Алматы,Легковые автомобили,D класс,D,2019-07-31
Mercur Auto,Audi,A6,2017.0,DEU,F,2.0,Автомат,4WD,Нур-Султан,1.0,42608.25485,42608.25485,Г.Нур-Султан,Легковые автомобили,E класс,E,2019-02-28
Mercur Auto,Audi,A6,2019.0,DEU,F,3.0,Автомат,4WD,Алматы,1.0,82344.0,82344.0,Г.Алматы,Легковые автомобили,E класс,E,2019-05-31
Mercur Auto,Audi,A6,2019.0,DEU,F,3.0,Автомат,4WD,Алматы,1.0,78940.0,78940.0,Г.Алматы,Легковые автомобили,E класс,E,2019-06-30
Mercur Auto,Audi,A6,2017.0,DEU,F,3.0,Автомат,4WD,Алматы,1.0,64474.0,64474.0,Г.Алматы,Легковые автомобили,E класс,E,2019-06-30
Mercur Auto,Audi,A6,2019.0,DEU,F,3.0,Автомат,4WD,Алматы,1.0,84329.0,84329.0,Г.Алматы,Легковые автомобили,E класс,E,2019-07-31
Mercur Auto,Audi,A6,2019.0,DEU,F,3.0,Автомат,4WD,Нур-Султан,1.0,88028.62533,88028.62533,Г.Нур-Султан,Легковые автомобили,E класс,E,2019-08-31
Mercur Auto,Audi,A6,2019.0,DEU,F,3.0,Автомат,4WD,Алматы,1.0,88028.62533,88028.62533,Г.Алматы,Легковые автомобили,E класс,E,2019-08-31
Mercur Auto,Audi,A7,2018.0,DEU,F,3.0,Автомат,4WD,Алматы,1.0,91600.0,91600.0,Г.Алматы,Легковые автомобили,E класс,E,2019-09-30
Mercur Auto,Audi,A7,2018.0,DEU,F,3.0,Автомат,4WD,Алматы,1.0,79500.0,79500.0,Г.Алматы,Легковые автомобили,E класс,E,2019-09-30
Mercur Auto,Audi,A8,2018.0,DEU,F,3.0,Автомат,4WD,Алматы,1.0,129935.2075,129935.2075,Г.Алматы,Легковые автомобили,F класс,F,2019-01-31
Mercur Auto,Audi,A8,2018.0,DEU,F,3.0,Автомат,4WD,Алматы,1.0,91132.0,91132.0,Г.Алматы,Легковые автомобили,F класс,F,2019-07-31
Mercur Auto,Audi,A8,2018.0,DEU,F,3.0,Автомат,4WD,Алматы,1.0,121300.0,121300.0,Г.Алматы,Легковые автомобили,F класс,F,2019-09-30
Mercur Auto,Audi,A8,2018.0,DEU,F,3.0,Автомат,4WD,Алматы,1.0,124300.0,124300.0,Г.Алматы,Легковые автомобили,F класс,F,2019-09-30
Mercur Auto,Audi,Q5,2017.0,DEU,F,2.0,Автомат,4WD,Алматы,1.0,47835.59084,47835.59084,Г.Алматы,Внедорожники,Среднеразмерные SUV,K2,2019-01-31
Mercur Auto,Audi,Q5,2017.0,DEU,F,2.0,Автомат,4WD,Алматы,1.0,49296.33248,49296.33248,Г.Алматы,Внедорожники,Среднеразмерные SUV,K2,2019-02-28
Mercur Auto,Audi,Q5,2017.0,DEU,F,2.0,Автомат,4WD,Нур-Султан,1.0,49100.0,49100.0,Г.Нур-Султан,Внедорожники,Среднеразмерные SUV,K2,2019-03-31
Mercur Auto,Audi,Q5,2017.0,DEU,F,2.0,Автомат,4WD,Алматы,1.0,56563.0,56563.0,Г.Алматы,Внедорожники,Среднеразмерные SUV,K2,2019-03-31
Mercur Auto,Audi,Q5,2017.0,DEU,F,2.0,Автомат,4WD,Алматы,1.0,56250.0,56250.0,Г.Алматы,Внедорожники,Среднеразмерные SUV,K2,2019-03-31
Mercur Auto,Audi,Q5,2017.0,DEU,F,2.0,Автомат,4WD,Алматы,1.0,56719.0,56719.0,Г.Алматы,Внедорожники,Среднеразмерные SUV,K2,2019-03-31
Mercur Auto,Audi,Q5,2017.0,DEU,F,2.0,Автомат,4WD,Алматы,1.0,58750.0,58750.0,Г.Алматы,Внедорожники,Среднеразмерные SUV,K2,2019-03-31
Mercur Auto,Audi,Q5,2017.0,DEU,F,2.0,Автомат,4WD,Нур-Султан,1.0,58723.466,58723.466,Г.Нур-Султан,Внедорожники,Среднеразмерные SUV,K2,2019-08-31
Mercur Auto,Audi,Q7,2017.0,DEU,F,3.0,Автомат,4WD,Алматы,1.0,88750.0,88750.0,Г.Алматы,Внедорожники,Полноразмерные SUV,K3,2019-03-31
Mercur Auto,Audi,Q7,2018.0,DEU,D,3.0,Автомат,4WD,Алматы,1.0,72108.0,72108.0,Г.Алматы,Внедорожники,Полноразмерные SUV,K3,2019-05-31
Mercur Auto,Audi,Q7,2017.0,DEU,F,3.0,Автомат,4WD,Нур-Султан,1.0,72215.0,72215.0,Г.Нур-Султан,Внедорожники,Полноразмерные SUV,K3,2019-05-31
Автоцентр-Бавария,BMW,3 серия,2019.0,DEU,F,2.0,Автомат,RWD,Нур-Султан,2.0,41038.50199,82077.00398,Г.Нур-Султан,Легковые автомобили,D класс,D,2019-05-31
Автоцентр-Бавария,BMW,3 серия,2018.0,DEU,F,2.0,Автомат,RWD,Алматы,1.0,40635.43936,40635.43936,Г.Алматы,Легковые автомобили,D класс,D,2019-07-31
Автоцентр-Бавария,BMW,5 серия,2018.0,DEU,F,2.0,Автомат,RWD,Нур-Султан,1.0,45118.74071,45118.74071,Г.Нур-Султан,Легковые автомобили,E класс,E,2019-01-31
Автоцентр-Бавария,BMW,5 серия,2018.0,DEU,F,2.0,Автомат,RWD,Алматы,1.0,45118.74071,45118.74071,Г.Алматы,Легковые автомобили,E класс,E,2019-01-31
Автоцентр-Бавария,BMW,5 серия,2018.0,DEU,F,2.0,Автомат,RWD,Алматы,1.0,37560.18878,37560.18878,Г.Алматы,Легковые автомобили,E класс,E,2019-01-31
Автоцентр-Бавария,BMW,5 серия,2018.0,DEU,F,2.0,Автомат,RWD,Нур-Султан,1.0,37611.10292,37611.10292,Г.Нур-Султан,Легковые автомобили,E класс,E,2019-02-28
Автоцентр-Бавария,BMW,5 серия,2018.0,DEU,F,2.0,Автомат,4WD,Нур-Султан,1.0,50769.16679,50769.16679,Г.Нур-Султан,Легковые автомобили,E класс,E,2019-02-28
Автоцентр-Бавария,BMW,5 серия,2018.0,DEU,F,2.0,Автомат,4WD,Алматы,1.0,50769.16679,50769.16679,Г.Алматы,Легковые автомобили,E класс,E,2019-02-28
Автоцентр-Бавария,BMW,5 серия,2018.0,DEU,F,2.0,Автомат,4WD,Нур-Султан,4.0,50885.94164,203543.7666,Г.Нур-Султан,Легковые автомобили,E класс,E,2019-03-31
Автоцентр-Бавария,BMW,5 серия,2018.0,DEU,F,2.0,Автомат,RWD,Нур-Султан,2.0,45283.81963,90567.63926,Г.Нур-Султан,Легковые автомобили,E класс,E,2019-03-31
Автоцентр-Бавария,BMW,5 серия,2018.0,DEU,F,2.0,Автомат,RWD,Нур-Султан,1.0,37697.61273,37697.61273,Г.Нур-Султан,Легковые автомобили,E класс,E,2019-03-31
Автоцентр-Бавария,BMW,5 серия,2018.0,DEU,F,2.0,Автомат,4WD,Алматы,2.0,50885.94164,101771.8833,Г.Алматы,Легковые автомобили,E класс,E,2019-03-31
Автоцентр-Бавария,BMW,5 серия,2019.0,DEU,F,4.4,Автомат,4WD,Нур-Султан,1.0,121724.0553,121724.0553,Г.Нур-Султан,Легковые автомобили,E класс,E,2019-04-30
Автоцентр-Бавария,BMW,5 серия,2019.0,DEU,F,2.0,Автомат,4WD,Нур-Султан,3.0,50544.46485,151633.3945,Г.Нур-Султан,Легковые автомобили,E класс,E,2019-04-30
Автоцентр-Бавария,BMW,5 серия,2019.0,DEU,F,4.4,Автомат,4WD,Алматы,1.0,121724.0553,121724.0553,Г.Алматы,Легковые автомобили,E класс,E,2019-04-30
Автоцентр-Бавария,BMW,5 серия,2019.0,DEU,F,2.0,Автомат,4WD,Алматы,3.0,50544.46485,151633.3945,Г.Алматы,Легковые автомобили,E класс,E,2019-04-30
Автоцентр-Бавария,BMW,5 серия,2018.0,DEU,F,2.0,Автомат,4WD,Усть-Каменогорск,1.0,48996.10625,48996.10625,Восточно-Казахстанская Область,Легковые автомобили,E класс,E,2019-05-31
Автоцентр-Бавария,BMW,5 серия,2018.0,DEU,F,2.0,Автомат,4WD,Нур-Султан,1.0,48996.10625,48996.10625,Г.Нур-Султан,Легковые автомобили,E класс,E,2019-05-31
Автоцентр-Бавария,BMW,5 серия,2018.0,DEU,F,2.0,Автомат,4WD,Алматы,1.0,48996.10625,48996.10625,Г.Алматы,Легковые автомобили,E класс,E,2019-05-31
Автоцентр-Бавария,BMW,5 серия,2019.0,DEU,F,2.0,Автомат,4WD,Нур-Султан,2.0,48739.10718,97478.21436,Г.Нур-Султан,Легковые автомобили,E класс,E,2019-06-30
Автоцентр-Бавария,BMW,5 серия,2019.0,DEU,F,2.0,Автомат,RWD,Нур-Султан,1.0,43311.08596,43311.08596,Г.Нур-Султан,Легковые автомобили,E класс,E,2019-06-30
Автоцентр-Бавария,BMW,5 серия,2019.0,DEU,F,2.0,Автомат,RWD,Нур-Султан,1.0,35960.64056,35960.64056,Г.Нур-Султан,Легковые автомобили,E класс,E,2019-06-30
Автоцентр-Бавария,BMW,5 серия,2019.0,DEU,F,2.0,Автомат,RWD,Алматы,1.0,43311.08596,43311.08596,Г.Алматы,Легковые автомобили,E класс,E,2019-06-30
Автоцентр-Бавария,BMW,5 серия,2019.0,DEU,F,2.0,Автомат,4WD,Нур-Султан,1.0,48514.88744,48514.88744,Г.Нур-Султан,Легковые автомобили,E класс,E,2019-07-31
Автоцентр-Бавария,BMW,5 серия,2019.0,DEU,F,2.0,Автомат,4WD,Нур-Султан,1.0,48148.71169,48148.71169,Г.Нур-Султан,Легковые автомобили,E класс,E,2019-08-31
Автоцентр-Бавария,BMW,5 серия,2019.0,DEU,F,2.0,Автомат,4WD,Алматы,2.0,48148.71169,96297.42337,Г.Алматы,Легковые автомобили,E класс,E,2019-08-31
Автоцентр-Бавария,BMW,5 серия,2019.0,DEU,F,2.0,Автомат,RWD,Алматы,1.0,42746.52963,42746.52963,Г.Алматы,Легковые автомобили,E класс,E,2019-09-30
Автоцентр-Бавария,BMW,5 серия,2019.0,DEU,F,2.0,Автомат,4WD,Алматы,2.0,48103.79706,96207.59411,Г.Алматы,Легковые автомобили,E класс,E,2019-09-30
Автоцентр-Бавария,BMW,5 серия,2019.0,DEU,F,2.0,Автомат,4WD,Нур-Султан,4.0,48103.79706,192415.1882,Г.Нур-Султан,Легковые автомобили,E класс,E,2019-09-30
Автоцентр-Бавария,BMW,5 серия,2019.0,DEU,F,2.0,Автомат,4WD,Усть-Каменогорск,1.0,48103.79706,48103.79706,Восточно-Казахстанская Область,Легковые автомобили,E класс,E,2019-09-30
Автоцентр-Бавария,BMW,5 серия,2019.0,DEU,F,2.0,Автомат,4WD,Уральск,1.0,48103.79706,48103.79706,Западно-Казахстанская Область,Легковые автомобили,E класс,E,2019-09-30
Автоцентр-Бавария,BMW,6 серия,2018.0,DEU,F,2.0,Автомат,RWD,Алматы,1.0,53491.29053,53491.29053,Г.Алматы,Легковые автомобили,Спортивные автомобили,G2,2019-01-31
Автоцентр-Бавария,BMW,7 серия,2018.0,DEU,F,4.4,Автомат,4WD,Алматы,1.0,107360.4857,107360.4857,Г.Алматы,Легковые автомобили,F класс,F,2019-02-28
Автоцентр-Бавария,BMW,7 серия,2019.0,DEU,F,6.6,Автомат,4WD,Алматы,1.0,144373.6774,144373.6774,Г.Алматы,Легковые автомобили,F класс,F,2019-05-31
Автоцентр-Бавария,BMW,7 серия,2019.0,DEU,F,3.0,Автомат,4WD,Алматы,2.0,93090.05084,186180.1017,Г.Алматы,Легковые автомобили,F класс,F,2019-07-31
Автоцентр-Бавария,BMW,7 серия,2019.0,DEU,F,3.0,Автомат,4WD,Алматы,1.0,92387.43518,92387.43518,Г.Алматы,Легковые автомобили,F класс,F,2019-08-31
Автоцентр-Бавария,BMW,7 серия,2019.0,DEU,F,3.0,Автомат,4WD,Алматы,1.0,92301.25328,92301.25328,Г.Алматы,Легковые автомобили,F класс,F,2019-09-30
Автоцентр-Бавария,BMW,7 серия,2019.0,DEU,F,6.6,Автомат,4WD,Алматы,1.0,141744.3672,141744.3672,Г.Алматы,Легковые автомобили,F класс,F,2019-09-30
Автоцентр-Бавария,BMW,X1,2018.0,DEU,F,2.0,Автомат,4WD,Нур-Султан,2.0,36397.33464,72794.66929,Г.Нур-Султан,Внедорожники,Компактные SUV,K1,2019-01-31
Автоцентр-Бавария,BMW,X1,2019.0,DEU,F,2.0,Автомат,4WD,Усть-Каменогорск,1.0,36285.36123,36285.36123,Восточно-Казахстанская Область,Внедорожники,Компактные SUV,K1,2019-04-30
Автоцентр-Бавария,BMW,X1,2019.0,DEU,F,2.0,Автомат,4WD,Нур-Султан,1.0,35960.64056,35960.64056,Г.Нур-Султан,Внедорожники,Компактные SUV,K1,2019-06-30
Автоцентр-Бавария,BMW,X1,2019.0,DEU,F,1.5,Автомат,FWD,Нур-Султан,1.0,29288.69782,29288.69782,Г.Нур-Султан,Внедорожники,Компактные SUV,K1,2019-06-30
Автоцентр-Бавария,BMW,X1,2019.0,DEU,F,1.5,Автомат,FWD,Алматы,1.0,29288.69782,29288.69782,Г.Алматы,Внедорожники,Компактные SUV,K1,2019-06-30
Автоцентр-Бавария,BMW,X1,2019.0,DEU,F,2.0,Автомат,4WD,Нур-Султан,1.0,35795.20697,35795.20697,Г.Нур-Султан,Внедорожники,Компактные SUV,K1,2019-07-31
Автоцентр-Бавария,BMW,X1,2019.0,DEU,F,1.5,Автомат,FWD,Алматы,1.0,29153.95788,29153.95788,Г.Алматы,Внедорожники,Компактные SUV,K1,2019-07-31
Автоцентр-Бавария,BMW,X1,2019.0,DEU,F,2.0,Автомат,4WD,Костанай,1.0,35525.03554,35525.03554,Костанайская Область,Внедорожники,Компактные SUV,K1,2019-08-31
Автоцентр-Бавария,BMW,X1,2019.0,DEU,F,1.5,Автомат,FWD,Алматы,1.0,28933.91259,28933.91259,Г.Алматы,Внедорожники,Компактные SUV,K1,2019-08-31
Автоцентр-Бавария,BMW,X1,2019.0,DEU,F,1.5,Автомат,FWD,Алматы,1.0,28906.92213,28906.92213,Г.Алматы,Внедорожники,Компактные SUV,K1,2019-09-30
Автоцентр-Бавария,BMW,X1,2019.0,DEU,F,2.0,Автомат,4WD,Алматы,1.0,35491.89667,35491.89667,Г.Алматы,Внедорожники,Компактные SUV,K1,2019-09-30
Автоцентр-Бавария,BMW,X1,2019.0,DEU,F,1.5,Автомат,FWD,Нур-Султан,1.0,28906.92213,28906.92213,Г.Нур-Султан,Внедорожники,Компактные SUV,K1,2019-09-30
Автоцентр-Бавария,BMW,X3,2018.0,USA,F,2.0,Автомат,4WD,Нур-Султан,1.0,44769.88446,44769.88446,Г.Нур-Султан,Внедорожники,Среднеразмерные SUV,K2,2019-01-31
Автоцентр-Бавария,BMW,X3,2018.0,USA,F,2.0,Автомат,4WD,Нур-Султан,1.0,40583.60955,40583.60955,Г.Нур-Султан,Внедорожники,Среднеразмерные SUV,K2,2019-01-31
Автоцентр-Бавария,BMW,X3,2018.0,USA,F,2.0,Автомат,4WD,Алматы,1.0,44769.88446,44769.88446,Г.Алматы,Внедорожники,Среднеразмерные SUV,K2,2019-01-31
Автоцентр-Бавария,BMW,X3,2018.0,USA,F,2.0,Автомат,4WD,Алматы,1.0,40583.60955,40583.60955,Г.Алматы,Внедорожники,Среднеразмерные SUV,K2,2019-01-31
Автоцентр-Бавария,BMW,X3,2018.0,USA,F,2.0,Автомат,4WD,Нур-Султан,3.0,40638.62204,121915.8661,Г.Нур-Султан,Внедорожники,Среднеразмерные SUV,K2,2019-02-28
Автоцентр-Бавария,BMW,X3,2018.0,USA,F,2.0,Автомат,4WD,Алматы,4.0,40638.62204,162554.4882,Г.Алматы,Внедорожники,Среднеразмерные SUV,K2,2019-02-28
Автоцентр-Бавария,BMW,X3,2018.0,USA,F,2.0,Автомат,4WD,Алматы,4.0,44830.57159,179322.2864,Г.Алматы,Внедорожники,Среднеразмерные SUV,K2,2019-02-28
Автоцентр-Бавария,BMW,X3,2018.0,USA,F,2.0,Автомат,4WD,Нур-Султан,1.0,44933.687,44933.687,Г.Нур-Султан,Внедорожники,Среднеразмерные SUV,K2,2019-03-31
Автоцентр-Бавария,BMW,X3,2018.0,USA,F,2.0,Автомат,4WD,Алматы,1.0,40732.09549,40732.09549,Г.Алматы,Внедорожники,Среднеразмерные SUV,K2,2019-03-31
Автоцентр-Бавария,BMW,X3,2019.0,USA,F,2.0,Автомат,4WD,Уральск,1.0,44632.15359,44632.15359,Западно-Казахстанская Область,Внедорожники,Среднеразмерные SUV,K2,2019-04-30
Автоцентр-Бавария,BMW,X3,2019.0,USA,F,2.0,Автомат,4WD,Усть-Каменогорск,2.0,40458.75741,80917.51483,Восточно-Казахстанская Область,Внедорожники,Среднеразмерные SUV,K2,2019-04-30
Автоцентр-Бавария,BMW,X3,2019.0,USA,F,2.0,Автомат,4WD,Нур-Султан,2.0,44632.15359,89264.30719,Г.Нур-Султан,Внедорожники,Среднеразмерные SUV,K2,2019-04-30
Автоцентр-Бавария,BMW,X3,2019.0,USA,F,2.0,Автомат,4WD,Нур-Султан,2.0,40458.75741,80917.51483,Г.Нур-Султан,Внедорожники,Среднеразмерные SUV,K2,2019-04-30
Автоцентр-Бавария,BMW,X3,2019.0,USA,F,2.0,Автомат,4WD,Алматы,2.0,44632.15359,89264.30719,Г.Алматы,Внедорожники,Среднеразмерные SUV,K2,2019-04-30
Автоцентр-Бавария,BMW,X3,2019.0,USA,F,2.0,Автомат,4WD,Алматы,3.0,40458.75741,121376.2722,Г.Алматы,Внедорожники,Среднеразмерные SUV,K2,2019-04-30
Автоцентр-Бавария,BMW,X3,2019.0,USA,F,2.0,Автомат,4WD,Уральск,1.0,43994.18357,43994.18357,Западно-Казахстанская Область,Внедорожники,Среднеразмерные SUV,K2,2019-05-31
Автоцентр-Бавария,BMW,X3,2019.0,USA,F,2.0,Автомат,4WD,Уральск,1.0,39901.70138,39901.70138,Западно-Казахстанская Область,Внедорожники,Среднеразмерные SUV,K2,2019-05-31
Автоцентр-Бавария,BMW,X3,2019.0,USA,F,2.0,Автомат,4WD,Усть-Каменогорск,1.0,39901.70138,39901.70138,Восточно-Казахстанская Область,Внедорожники,Среднеразмерные SUV,K2,2019-05-31
Автоцентр-Бавария,BMW,X3,2019.0,USA,F,2.0,Автомат,4WD,Нур-Султан,2.0,43994.18357,87988.36715,Г.Нур-Султан,Внедорожники,Среднеразмерные SUV,K2,2019-05-31
Автоцентр-Бавария,BMW,X3,2019.0,USA,F,2.0,Автомат,4WD,Нур-Султан,3.0,39901.70138,119705.1041,Г.Нур-Султан,Внедорожники,Среднеразмерные SUV,K2,2019-05-31
Автоцентр-Бавария,BMW,X3,2019.0,USA,F,2.0,Автомат,4WD,Алматы,2.0,39901.70138,79803.40276,Г.Алматы,Внедорожники,Среднеразмерные SUV,K2,2019-05-31
Автоцентр-Бавария,BMW,X3,2019.0,USA,F,2.0,Автомат,4WD,Усть-Каменогорск,2.0,39692.40515,79384.8103,Восточно-Казахстанская Область,Внедорожники,Среднеразмерные SUV,K2,2019-06-30
Автоцентр-Бавария,BMW,X3,2019.0,USA,F,2.0,Автомат,4WD,Нур-Султан,1.0,39692.40515,39692.40515,Г.Нур-Султан,Внедорожники,Среднеразмерные SUV,K2,2019-06-30
Автоцентр-Бавария,BMW,X3,2019.0,USA,F,2.0,Автомат,4WD,Алматы,1.0,43763.42106,43763.42106,Г.Алматы,Внедорожники,Среднеразмерные SUV,K2,2019-06-30
Автоцентр-Бавария,BMW,X3,2019.0,USA,F,2.0,Автомат,4WD,Алматы,2.0,39692.40515,79384.8103,Г.Алматы,Внедорожники,Среднеразмерные SUV,K2,2019-06-30
Автоцентр-Бавария,BMW,X3,2019.0,USA,F,2.0,Автомат,4WD,Усть-Каменогорск,2.0,39509.80392,79019.60784,Восточно-Казахстанская Область,Внедорожники,Среднеразмерные SUV,K2,2019-07-31
Автоцентр-Бавария,BMW,X3,2019.0,USA,F,2.0,Автомат,4WD,Нур-Султан,1.0,39509.80392,39509.80392,Г.Нур-Султан,Внедорожники,Среднеразмерные SUV,K2,2019-07-31
Автоцентр-Бавария,BMW,X3,2019.0,USA,F,2.0,Автомат,4WD,Алматы,1.0,43562.0915,43562.0915,Г.Алматы,Внедорожники,Среднеразмерные SUV,K2,2019-07-31
Автоцентр-Бавария,BMW,X3,2019.0,USA,F,2.0,Автомат,4WD,Алматы,2.0,39509.80392,79019.60784,Г.Алматы,Внедорожники,Среднеразмерные SUV,K2,2019-07-31
Автоцентр-Бавария,BMW,X3,2019.0,USA,F,2.0,Автомат,4WD,Усть-Каменогорск,1.0,39211.59583,39211.59583,Восточно-Казахстанская Область,Внедорожники,Среднеразмерные SUV,K2,2019-08-31
Автоцентр-Бавария,BMW,X3,2019.0,USA,F,2.0,Автомат,4WD,Нур-Султан,1.0,39211.59583,39211.59583,Г.Нур-Султан,Внедорожники,Среднеразмерные SUV,K2,2019-08-31
Автоцентр-Бавария,BMW,X3,2019.0,USA,F,2.0,Автомат,4WD,Нур-Султан,1.0,39175.01802,39175.01802,Г.Нур-Султан,Внедорожники,Среднеразмерные SUV,K2,2019-09-30
Автоцентр-Бавария,BMW,X4,2018.0,USA,F,2.0,Автомат,4WD,Костанай,1.0,45351.31154,45351.31154,Костанайская Область,Внедорожники,Среднеразмерные SUV,K2,2019-01-31
Автоцентр-Бавария,BMW,X4,2018.0,USA,F,2.0,Автомат,4WD,Нур-Султан,1.0,45412.78681,45412.78681,Г.Нур-Султан,Внедорожники,Среднеразмерные SUV,K2,2019-02-28
Автоцентр-Бавария,BMW,X4,2018.0,USA,F,2.0,Автомат,4WD,Алматы,1.0,45412.78681,45412.78681,Г.Алматы,Внедорожники,Среднеразмерные SUV,K2,2019-02-28
Автоцентр-Бавария,BMW,X4,2018.0,USA,F,2.0,Автомат,4WD,Нур-Султан,1.0,45517.24138,45517.24138,Г.Нур-Султан,Внедорожники,Среднеразмерные SUV,K2,2019-03-31
Автоцентр-Бавария,BMW,X4,2019.0,USA,F,2.0,Автомат,4WD,Алматы,2.0,45211.79195,90423.5839,Г.Алматы,Внедорожники,Среднеразмерные SUV,K2,2019-04-30
Автоцентр-Бавария,BMW,X4,2019.0,USA,F,2.0,Автомат,4WD,Нур-Султан,1.0,48655.06607,48655.06607,Г.Нур-Султан,Внедорожники,Среднеразмерные SUV,K2,2019-05-31
Автоцентр-Бавария,BMW,X4,2019.0,USA,F,2.0,Автомат,4WD,Нур-Султан,1.0,44562.58388,44562.58388,Г.Нур-Султан,Внедорожники,Среднеразмерные SUV,K2,2019-05-31
Автоцентр-Бавария,BMW,X4,2019.0,USA,F,2.0,Автомат,4WD,Алматы,1.0,44562.58388,44562.58388,Г.Алматы,Внедорожники,Среднеразмерные SUV,K2,2019-05-31
Автоцентр-Бавария,BMW,X4,2019.0,USA,F,2.0,Автомат,4WD,Алматы,1.0,48399.85585,48399.85585,Г.Алматы,Внедорожники,Среднеразмерные SUV,K2,2019-06-30
Автоцентр-Бавария,BMW,X4,2019.0,USA,F,2.0,Автомат,4WD,Алматы,2.0,44328.83994,88657.67988,Г.Алматы,Внедорожники,Среднеразмерные SUV,K2,2019-06-30
Автоцентр-Бавария,BMW,X4,2019.0,USA,F,2.0,Автомат,4WD,Усть-Каменогорск,1.0,44124.90922,44124.90922,Восточно-Казахстанская Область,Внедорожники,Среднеразмерные SUV,K2,2019-07-31
Автоцентр-Бавария,BMW,X4,2019.0,USA,F,2.0,Автомат,4WD,Нур-Султан,1.0,48177.1968,48177.1968,Г.Нур-Султан,Внедорожники,Среднеразмерные SUV,K2,2019-07-31
Автоцентр-Бавария,BMW,X4,2019.0,USA,F,2.0,Автомат,4WD,Нур-Султан,2.0,44124.90922,88249.81845,Г.Нур-Султан,Внедорожники,Среднеразмерные SUV,K2,2019-07-31
Автоцентр-Бавария,BMW,X4,2019.0,USA,F,2.0,Автомат,4WD,Усть-Каменогорск,1.0,47813.56984,47813.56984,Восточно-Казахстанская Область,Внедорожники,Среднеразмерные SUV,K2,2019-08-31
Автоцентр-Бавария,BMW,X4,2019.0,USA,F,2.0,Автомат,4WD,Нур-Султан,1.0,47813.56984,47813.56984,Г.Нур-Султан,Внедорожники,Среднеразмерные SUV,K2,2019-08-31
Автоцентр-Бавария,BMW,X4,2019.0,USA,F,2.0,Автомат,4WD,Нур-Султан,1.0,47768.96784,47768.96784,Г.Нур-Султан,Внедорожники,Среднеразмерные SUV,K2,2019-09-30
Автоцентр-Бавария,BMW,X4,2019.0,USA,F,2.0,Автомат,4WD,Усть-Каменогорск,1.0,43751.01728,43751.01728,Восточно-Казахстанская Область,Внедорожники,Среднеразмерные SUV,K2,2019-09-30
Автоцентр-Бавария,BMW,X4,2019.0,USA,F,2.0,Автомат,4WD,Усть-Каменогорск,1.0,47768.96784,47768.96784,Восточно-Казахстанская Область,Внедорожники,Среднеразмерные SUV,K2,2019-09-30
Автоцентр-Бавария,BMW,X4,2019.0,USA,F,2.0,Автомат,4WD,Костанай,1.0,43751.01728,43751.01728,Костанайская Область,Внедорожники,Среднеразмерные SUV,K2,2019-09-30
Автоцентр-Бавария,BMW,X5,2018.0,USA,F,3.0,Автомат,4WD,Уральск,1.0,70352.67559,70352.67559,Западно-Казахстанская Область,Внедорожники,Полноразмерные SUV,K3,2019-01-31
Автоцентр-Бавария,BMW,X5,2018.0,USA,F,3.0,Автомат,4WD,Усть-Каменогорск,2.0,70352.67559,140705.3512,Восточно-Казахстанская Область,Внедорожники,Полноразмерные SUV,K3,2019-01-31
Автоцентр-Бавария,BMW,X5,2018.0,USA,F,3.0,Автомат,4WD,Нур-Султан,7.0,70352.67559,492468.7291,Г.Нур-Султан,Внедорожники,Полноразмерные SUV,K3,2019-01-31
Автоцентр-Бавария,BMW,X5,2018.0,USA,F,3.0,Автомат,4WD,Алматы,7.0,70352.67559,492468.7291,Г.Алматы,Внедорожники,Полноразмерные SUV,K3,2019-01-31
Автоцентр-Бавария,BMW,X5,2018.0,USA,F,3.0,Автомат,4WD,Алматы,1.0,70352.67559,70352.67559,Г.Алматы,Внедорожники,Полноразмерные SUV,K3,2019-01-31
Автоцентр-Бавария,BMW,X5,2018.0,USA,F,3.0,Автомат,4WD,Уральск,2.0,70448.04107,140896.0821,Западно-Казахстанская Область,Внедорожники,Полноразмерные SUV,K3,2019-02-28
Автоцентр-Бавария,BMW,X5,2018.0,USA,F,3.0,Автомат,4WD,Нур-Султан,5.0,70448.04107,352240.2054,Г.Нур-Султан,Внедорожники,Полноразмерные SUV,K3,2019-02-28
Автоцентр-Бавария,BMW,X5,2018.0,USA,F,3.0,Автомат,4WD,Нур-Султан,1.0,70448.04107,70448.04107,Г.Нур-Султан,Внедорожники,Полноразмерные SUV,K3,2019-02-28
Автоцентр-Бавария,BMW,X5,2018.0,USA,F,3.0,Автомат,4WD,Алматы,3.0,70448.04107,211344.1232,Г.Алматы,Внедорожники,Полноразмерные SUV,K3,2019-02-28
